Gene_symbol	Chromosome	Start position	End position	Ensembl
MARCH7	2	159712499	159771027	ENST00000259050
TOR1B	9	129803153	129811281	ENST00000259339
PSMB7	9	124353466	124415439	ENST00000259457
DERL1	8	123013164	123042423	ENST00000259512
DCTN3	9	34613551	34620480	ENST00000259632
HINT2	9	35812960	35815021	ENST00000259667
FAM8A1	6	17600355	17611719	ENST00000259963
THAP12	11	76349956	76380942	ENST00000260045
MRPL15	8	54135210	54147901	ENST00000260102
BUD13	11	116748170	116772988	ENST00000260210
FDX1	11	110429883	110464881	ENST00000260270
RPLP1	15	69452784	69456194	ENST00000260379
RSL24D1	15	55180806	55197067	ENST00000260443
ACTR2	2	65227753	65271253	ENST00000260641
PREB	2	27130756	27134675	ENST00000260643
LRPPRC	2	43886508	43996005	ENST00000260665
DNAJC13	3	132417526	132539032	ENST00000260818
ASNSD1	2	189661420	189670831	ENST00000260952
SSB	2	169798812	169812064	ENST00000260956
COX17	3	119669271	119677403	ENST00000261070
WBP11	12	14784579	14803540	ENST00000261167
PSMC1	14	90256495	90275429	ENST00000261303
PEBP1	12	118135858	118145584	ENST00000261313
YPEL5	2	30146961	30160533	ENST00000261353
NUP133	1	229440260	229508341	ENST00000261396
UBE2K	4	39698044	39782792	ENST00000261427
PPP2R5A	1	212285537	212361863	ENST00000261461
PSMA6	14	35292357	35317474	ENST00000261479
IPO5	13	97953675	98024297	ENST00000261574
USP14	18	158608	214629	ENST00000261601
ARL1	12	101393120	101407820	ENST00000261636
BFAR	16	14632815	14669236	ENST00000261658
KPNA3	13	49699307	49792921	ENST00000261667
SFSWAP	12	131711089	131799737	ENST00000261674
RTRAF	14	51989475	52010691	ENST00000261700
PSMD11	17	32444261	32483318	ENST00000261712
TAOK1	17	29390600	29551904	ENST00000261716
BTBD1	15	83016422	83067354	ENST00000261721
ERP29	12	112013316	112023451	ENST00000261735
AARS	16	70252295	70289543	ENST00000261772
NDST1	5	150508112	150558211	ENST00000261797
CSNK1A1	5	149492197	149551397	ENST00000261798
PFDN1	5	140245039	140303121	ENST00000261813
EIF3J	15	44537057	44562803	ENST00000261868
TRIP4	15	64387804	64455303	ENST00000261884
RAB11A	15	65869458	65891991	ENST00000261890
FAF2	5	176448355	176510074	ENST00000261942
RBM25	14	73058436	73123898	ENST00000261973
SPAG9	17	50962174	51120865	ENST00000262013
PTGES3	12	56663343	56688300	ENST00000262033
EIF4B	12	53006158	53042209	ENST00000262056
COPZ1	12	54325127	54351849	ENST00000262061
NUP153	6	17615038	17706387	ENST00000262077
WDR59	16	74871367	74985148	ENST00000262144
DNAJB6	7	157336966	157417439	ENST00000262177
RHEB	7	151466012	151519924	ENST00000262187
PSMB1	6	170535117	170553341	ENST00000262193
TRAM1	8	70573442	70608369	ENST00000262213
TMED2	12	123584531	123598577	ENST00000262225
YY1	14	100238985	100282792	ENST00000262238
ELOB	16	2771414	2777277	ENST00000262306
TELO2	16	1493363	1510457	ENST00000262319
CREBBP	16	3725054	3880726	ENST00000262367
MGRN1	16	4624790	4690974	ENST00000262370
N4BP1	16	48538726	48610209	ENST00000262384
WSB1	17	27294080	27315926	ENST00000262394
ERP44	9	99979179	100099040	ENST00000262455
SETD1A	16	30957294	30984664	ENST00000262519
ZC3H3	8	143437655	143541453	ENST00000262577
RPL8	8	144789770	144792587	ENST00000262584
RBM42	19	35629049	35637686	ENST00000262633
IMPAD1	8	56957933	56993844	ENST00000262644
RAB2A	8	60516857	60623627	ENST00000262646
ELL	19	18442663	18522127	ENST00000262809
COPE	19	18899514	18919397	ENST00000262812
MAU2	19	19320681	19358755	ENST00000262815
ATRN	20	3471040	3651122	ENST00000262919
ARPC1A	7	99325910	99366257	ENST00000262942
MYDGF	19	4657545	4670370	ENST00000262947
MAP2K2	19	4090321	4124129	ENST00000262948
YJU2	19	4247079	4269090	ENST00000262962
PIAS4	19	4007646	4039386	ENST00000262971
ZNF330	4	141220887	141234697	ENST00000262990
MAPK3	16	30114105	30123294	ENST00000263025
CAPZA1	1	112619173	112671619	ENST00000263168
UBE2R2	9	33817567	33920404	ENST00000263228
ACTR3	2	113889960	113962596	ENST00000263238
DDX18	2	117814650	117832379	ENST00000263239
ARFGAP3	22	42796502	42857402	ENST00000263245
DESI1	22	41598028	41621096	ENST00000263256
AP2S1	19	46838167	46850992	ENST00000263270
STRN4	19	46719507	46746480	ENST00000263280
CLNS1A	11	77616195	77637751	ENST00000263309
TCF25	16	89873612	89911384	ENST00000263346
NAPA	19	47487637	47515240	ENST00000263354
BRD4	19	15235519	15280451	ENST00000263377
FAM32A	19	16185418	16192046	ENST00000263384
VPS26A	10	69124152	69172856	ENST00000263559
CD81	11	2377294	2397419	ENST00000263645
PNO1	2	68157844	68176238	ENST00000263657
SPCS2	11	74949247	74979031	ENST00000263672
DNAJC8	1	28200278	28233025	ENST00000263697
FAM20B	1	179025896	179076562	ENST00000263733
FNBP4	11	47716517	47767301	ENST00000263773
NDUFS3	11	47579010	47584562	ENST00000263774
CHMP2B	3	87227285	87255499	ENST00000263780
OSBP	11	59574398	59616144	ENST00000263847
CHMP3	2	86503431	86563477	ENST00000263856
USE1	19	17215359	17219829	ENST00000263897
GTF3C3	2	196763032	196799701	ENST00000263956
COQ10B	2	197453423	197475308	ENST00000263960
HAT1	2	171922465	171983682	ENST00000264108
RAB3GAP1	2	135052265	135170706	ENST00000264158
DARS	2	135906677	135985684	ENST00000264161
MUL1	1	20499448	20508161	ENST00000264198
TXNDC9	2	99318982	99336462	ENST00000264255
RPL31	2	101001715	101007267	ENST00000264258
NOP58	2	202265716	202303666	ENST00000264279
YWHAE	17	1344272	1400378	ENST00000264335
COPS4	4	83035090	83075818	ENST00000264389
RAPGEF2	4	159267737	159360169	ENST00000264431
SLC30A9	4	41990472	42090457	ENST00000264451
PHRF1	11	576486	612222	ENST00000264555
PSMD3	17	39980797	39997960	ENST00000264639
CASC3	17	40140323	40172183	ENST00000264645
STAT3	17	42313324	42388568	ENST00000264657
PDCD6	5	271621	314974	ENST00000264933
GRPEL1	4	7058906	7068197	ENST00000264954
LMAN2L	2	96705929	96740063	ENST00000264963
CDV3	3	133573730	133590261	ENST00000264993
MRPL3	3	131462212	131502969	ENST00000264995
DNAJB11	3	186570678	186585799	ENST00000265028
SSR3	3	156540140	156555184	ENST00000265044
RAB7A	3	128726122	128814796	ENST00000265062
GOLPH3	5	32124704	32174350	ENST00000265070
SUB1	5	32585499	32604079	ENST00000265073
ATP6V0E1	5	172983816	173034892	ENST00000265093
SEC24B	4	109433815	109540896	ENST00000265175
PAIP2	5	139341832	139369698	ENST00000265192
LSG1	3	194640788	194672477	ENST00000265245
UBE2B	5	134371179	134391992	ENST00000265339
AFF4	5	132875379	132963634	ENST00000265343
PRDX5	11	64318088	64321811	ENST00000265462
PRKAR2A	3	48746579	48847846	ENST00000265563
BUD23	7	73683568	73698212	ENST00000265758
GET4	7	876552	896434	ENST00000265857
HNRNPH3	10	68332075	68343187	ENST00000265866
SNX19	11	130875436	130916509	ENST00000265909
TMEM115	3	50354749	50359610	ENST00000266025
GNAI2	3	50230776	50259339	ENST00000266027
GID8	20	62938119	62948475	ENST00000266069
PRPF6	20	63981135	64033100	ENST00000266079
ZCRB1	12	42312078	42326105	ENST00000266529
SNRPF	12	95858928	95867053	ENST00000266735
C12orf10	12	53299686	53307158	ENST00000267103
TMBIM6	12	49741557	49764933	ENST00000267115
ANKRD52	12	56237807	56258391	ENST00000267116
SETD1B	12	121804738	121830239	ENST00000267197
VPS37B	12	122865328	122896444	ENST00000267202
ANKRD10	13	110878540	110915069	ENST00000267339
NOP9	14	24299862	24309124	ENST00000267425
EMC4	15	34224999	34230156	ENST00000267750
MFAP1	15	43804492	43824802	ENST00000267812
SRP14	15	40035739	40039188	ENST00000267884
FURIN	15	90868592	90883458	ENST00000268171
DHX38	16	72093562	72112912	ENST00000268482
MAP1LC3B	16	87391800	87404779	ENST00000268607
NDUFB10	16	1959508	1961975	ENST00000268668
SPG7	16	89508410	89557744	ENST00000268704
MED9	17	17476986	17493226	ENST00000268711
NOB1	16	69741867	69754940	ENST00000268802
AFG3L2	18	12328944	12377314	ENST00000269143
SLC39A6	18	36108532	36129318	ENST00000269187
GALNT1	18	35654560	35711834	ENST00000269195
ARHGDIA	17	81867721	81871406	ENST00000269321
EIF4A3	17	80135214	80147183	ENST00000269349
FN3KRP	17	82716683	82728017	ENST00000269373
SH3GL1	19	4360370	4400547	ENST00000269886
CCDC97	19	41310189	41324883	ENST00000269967
SOD1	21	31659622	31668931	ENST00000270142
ECSIT	19	11505916	11529174	ENST00000270517
PSMB6	17	4796144	4798503	ENST00000270586
RPS11	19	49496374	49499689	ENST00000270625
MPC2	1	167918068	167937040	ENST00000271373
PRCC	1	156767500	156800817	ENST00000271526
SF3B4	1	149923317	149928344	ENST00000271628
ENSA	1	150623281	150629577	ENST00000271690
EIF2D	1	206591642	206612459	ENST00000271764
JTB	1	153974269	153977688	ENST00000271843
ACP1	2	264872	278283	ENST00000272065
ARF1	1	228082660	228099212	ENST00000272102
ARL8A	1	202133404	202144741	ENST00000272217
PDIA6	2	10783391	10812844	ENST00000272227
RPS27A	2	55232402	55235853	ENST00000272317
SNRPG	2	70281362	70293771	ENST00000272348
MRPS5	2	95087207	95122000	ENST00000272418
TEX261	2	70985938	70994945	ENST00000272438
DUSP11	2	73762184	73780157	ENST00000272444
UBE2F	2	237966955	238042595	ENST00000272930
RAB5A	3	19947079	19985175	ENST00000273047
CTDSP1	2	218399755	218405941	ENST00000273062
DYNC1LI1	3	32525971	32570874	ENST00000273130
SEC22C	3	42547971	42582028	ENST00000273156
SLC25A38	3	39383324	39397351	ENST00000273158
IQSEC1	3	12897220	12967668	ENST00000273221
RPL32	3	12836047	12841546	ENST00000273223
ARL6IP5	3	69084944	69106066	ENST00000273258
RNF7	3	141738204	141747560	ENST00000273480
TCTA	3	49412206	49416475	ENST00000273590
PYURF	4	88520985	88523813	ENST00000273968
RPS3A	4	151099573	151104652	ENST00000274065
NDUFS6	5	1801400	1816605	ENST00000274137
RPL37	5	40825262	40835335	ENST00000274242
NHP2	5	178149460	178153967	ENST00000274606
ZMAT2	5	140700334	140706676	ENST00000274712
HIGD2A	5	176388747	176389771	ENST00000274787
RNF44	5	176526697	176537420	ENST00000274811
MUT	6	49430360	49463191	ENST00000274813
CCT6A	7	56051630	56063989	ENST00000275603
GIGYF1	7	100679507	100689448	ENST00000275732
NDUFB11	X	47142220	47145038	ENST00000276062
NONO	X	71283583	71301168	ENST00000276079
ATP6V1B2	8	20197367	20221701	ENST00000276390
ARMC1	8	65602456	65634207	ENST00000276569
MRPS28	8	79918717	80030271	ENST00000276585
EIF3H	8	116644833	116766255	ENST00000276682
NDUFB9	8	124539103	124549979	ENST00000276689
BCCIP	10	125823546	125836553	ENST00000278100
HSD17B12	11	43680558	43856610	ENST00000278353
SSRP1	11	57325985	57335877	ENST00000278412
TMX2	11	57712607	57740973	ENST00000278422
AASDHPPT	11	106077489	106098710	ENST00000278618
LAMTOR1	11	72097292	72103387	ENST00000278671
LSM14B	20	62122507	62135378	ENST00000279068
AIP	11	67483041	67491103	ENST00000279146
MRPL49	11	65122328	65127371	ENST00000279242
VPS51	11	65096159	65111860	ENST00000279281
TAOK2	16	29974281	29992261	ENST00000279394
DENR	12	122752774	122771064	ENST00000280557
