,Gene_symbol,Chromosome,Start.position,End.position,Ensembl,Gene.Symbol,Pearson,Spearman
3406,PNN,14,39175213,39183218,ENST00000216832,PNN,0.334719893,0.33805474
7710,GSS,20,34928433,34955817,ENST00000216951,GSS,0.556369577,0.555046212
11275,CTSZ,20,58995185,59007247,ENST00000217131,CTSZ,0.778611134,0.776312048
3205,CHMP4B,20,33811304,33854366,ENST00000217402,CHMP4B,0.31489952,0.324804659
5703,AHCY,20,34280268,34303348,ENST00000217426,AHCY,0.488424374,0.461107495
1830,MYL12A,18,3247530,3256236,ENST00000217652,MYL12A,0.221087234,0.213907604
606,TAF9,5,69364745,69369642,ENST00000217893,TAF9,0.037594498,0.061707678
2165,IDH3G,X,153785766,153794523,ENST00000217901,IDH3G,0.226040448,0.244820074
3676,PSMD10,X,108084207,108091618,ENST00000217958,PSMD10,0.433127894,0.353793912
10647,PGRMC1,X,119236253,119244466,ENST00000217971,PGRMC1,0.71903238,0.727316309
9546,USP11,X,47232866,47248327,ENST00000218348,USP11,0.660848322,0.65564287
6915,HTATSF1,X,136497511,136512346,ENST00000218364,HTATSF1,0.521599612,0.517148685
1080,C16orf70,16,67109988,67148539,ENST00000219139,C16orf70,0.160573923,0.13269181
5979,ARL2BP,16,57245098,57253635,ENST00000219204,ARL2BP,0.472895928,0.474235143
831,POLR2C,16,57462387,57472010,ENST00000219252,POLR2C,0.110479007,0.099897776
1105,USB1,16,58001373,58021618,ENST00000219281,USB1,0.090355478,0.134803922
1465,PSMD7,16,74296775,74306288,ENST00000219313,PSMD7,0.179373876,0.177332406
8236,PLA2G15,16,68245344,68261062,ENST00000219345,PLA2G15,0.598826815,0.580700151
9228,STUB1,16,680276,682799,ENST00000219548,STUB1,0.667612632,0.63435001
7253,MAZ,16,29806596,29811164,ENST00000219782,MAZ,0.540483,0.533329089
6579,KAT8,16,31117664,31131389,ENST00000219797,KAT8,0.519636854,0.502094765
8897,BRF2,8,37843268,37849904,ENST00000220659,BRF2,0.604216761,0.616277056
701,EIF3E,8,108201743,108248765,ENST00000220849,EIF3E,0.124384145,0.081547316
1177,EMC2,8,108443624,108486912,ENST00000220853,EMC2,0.20778686,0.144230936
725,DCTN6,8,30156297,30183640,ENST00000221114,DCTN6,0.09049122,0.084717193
9259,PPP2CB,8,30785610,30812872,ENST00000221138,PPP2CB,0.642481185,0.636944695
4983,KCTD9,8,25427847,25458467,ENST00000221200,KCTD9,0.531068494,0.428309054
1904,PAF1,19,39385852,39391195,ENST00000221265,PAF1,0.240650059,0.220447106
9527,ECH1,19,38815422,38832005,ENST00000221418,ECH1,0.706540757,0.654048884
1574,SNRNP70,19,49085451,49108563,ENST00000221448,SNRNP70,0.212922122,0.187286652
8131,PPP1R37,19,45092962,45147285,ENST00000221462,PPP1R37,0.572132893,0.575458911
3023,SF3A2,19,2236504,2248679,ENST00000221494,SF3A2,0.363308186,0.312221029
4220,AES,19,3052910,3063107,ENST00000221561,AES,0.478016696,0.386386389
7948,SGTA,19,2754714,2783371,ENST00000221566,SGTA,0.575499158,0.565904257
6386,FIZ1,19,55591371,55599527,ENST00000221665,FIZ1,0.492770621,0.492535698
1989,POLR2I,19,36113710,36115346,ENST00000221859,POLR2I,0.234043904,0.228922514
5662,CCDC9,19,47256459,47271953,ENST00000221922,CCDC9,0.438000276,0.458953041
1575,RPS19,19,41860257,41871416,ENST00000221975,RPS19,0.174274767,0.187296992
8754,CDC37,19,10391134,10403533,ENST00000222005,CDC37,0.610733864,0.608284591
3277,RABAC1,19,41956681,41959390,ENST00000222008,RABAC1,0.322369935,0.329834828
NA.3,WDR83OS,19,12668075,12669403,ENST00000222190,NA,NA,NA
7132,DNASE2,19,12875211,12881468,ENST00000222219,DNASE2,0.58687509,0.527714629
4873,LENG1,19,54155161,54159882,ENST00000222224,LENG1,0.379324024,0.421545013
360,RPL18A,19,17859876,17863316,ENST00000222247,RPL18A,0.028477416,0.010209453
1593,TMEM147,19,35545595,35547526,ENST00000222284,TMEM147,0.179056372,0.189279011
4572,USF2,19,35269065,35279812,ENST00000222305,USF2,0.416277385,0.405683172
803,KXD1,19,18557788,18569378,ENST00000222307,KXD1,0.112136287,0.096189572
4638,GSK3A,19,42230186,42242593,ENST00000222330,GSK3A,0.435178061,0.408722626
3367,OGDH,7,44606639,44709066,ENST00000222673,OGDH,0.354691316,0.33515323
433,H2AFV,7,44826791,44848077,ENST00000222690,H2AFV,0.039007159,0.030164005
3471,BUD31,7,99408978,99419608,ENST00000222969,BUD31,0.335360904,0.341680042
8278,WASL,7,123681935,123749067,ENST00000223023,WASL,0.687384521,0.582485659
9242,PLOD3,7,101205977,101217673,ENST00000223127,PLOD3,0.681637154,0.635509721
8976,FIS1,7,101239612,101245085,ENST00000223136,FIS1,0.605062231,0.620640508
856,PSMA2,7,42916857,42932223,ENST00000223321,PSMA2,0.114516058,0.103206106
983,MRPL32,7,42932200,42937857,ENST00000223324,MRPL32,0.1007712,0.120011343
7117,YKT6,7,44201049,44214294,ENST00000223369,YKT6,0.514305017,0.526915403
1447,CHMP5,9,33264942,33281539,ENST00000223500,CHMP5,0.110479904,0.175571337
808,SEC61B,9,99222301,99230615,ENST00000223641,SEC61B,0.076890146,0.096703224
1648,EDF1,9,136862119,136866286,ENST00000224073,EDF1,0.199486721,0.195424135
1483,UTP18,17,51260528,51297933,ENST00000225298,UTP18,0.180399262,0.17908102
3444,NUFIP2,17,29255836,29294118,ENST00000225388,NUFIP2,0.357222219,0.340260424
615,RPL19,17,39200283,39204732,ENST00000225430,RPL19,0.103510583,0.063068781
295,SUPT4H1,17,58345178,58352202,ENST00000225504,SUPT4H1,0.032063049,-0.003211942
9102,TAX1BP3,17,3662902,3668682,ENST00000225525,TAX1BP3,0.685571778,0.627753403
3629,CBX1,17,48070052,48101521,ENST00000225603,CBX1,0.327621987,0.351434305
3559,PFN1,17,4945652,4949014,ENST00000225655,PFN1,0.34834317,0.347428073
5997,SLC25A11,17,4937130,4940251,ENST00000225665,SLC25A11,0.487982473,0.474939194
4996,CCDC47,17,63745250,63773775,ENST00000225726,CCDC47,0.483465787,0.428814886
5794,AKAP10,17,19904302,19977837,ENST00000225737,AKAP10,0.479205462,0.465889802
4779,LRRC59,17,50381238,50397553,ENST00000225972,LRRC59,0.445945418,0.416364499
5369,TNFAIP1,17,28335704,28347009,ENST00000226225,TNFAIP1,0.497892526,0.445570275
7288,FRG1,4,189940788,189963204,ENST00000226798,FRG1,0.581684041,0.534896143
1500,PRPF19,11,60890730,60906588,ENST00000227524,PRPF19,0.201533405,0.180952773
5089,SART3,12,108522580,108561389,ENST00000228284,SART3,0.429216002,0.432487892
NA.4,PRDM4,12,107732866,107761160,ENST00000228437,NA,NA,NA
4407,KCTD10,12,109448656,109477544,ENST00000228495,KCTD10,0.392612043,0.397078063
8386,MLEC,12,120686869,120701864,ENST00000228506,MLEC,0.625717544,0.588611096
5265,CSRNP2,12,51061205,51083550,ENST00000228515,CSRNP2,0.631579543,0.440660475
1506,ARPC3,12,110434825,110450407,ENST00000228825,ARPC3,0.217221994,0.181740953
2447,GPN3,12,110452484,110468266,ENST00000228827,GPN3,0.233954551,0.269220632
5373,CDKN1B,12,12717124,12722371,ENST00000228872,CDKN1B,0.47559205,0.445865751
544,MRPL51,12,6491886,6493598,ENST00000229238,MRPL51,0.062321092,0.051262429
6340,GAPDH,12,6533927,6538371,ENST00000229239,GAPDH,0.491695416,0.491066817
9532,CMAS,12,22046174,22065663,ENST00000229329,CMAS,0.669932455,0.65442159
3255,RAB35,12,120095095,120116839,ENST00000229340,RAB35,0.334095165,0.328260527
1697,COX6A1,12,120438090,120440742,ENST00000229379,COX6A1,0.176131228,0.200678643
4945,SRSF9,12,120461668,120469793,ENST00000229390,SRSF9,0.403427862,0.426584997
8254,TMEM14C,6,10722975,10731129,ENST00000229563,TMEM14C,0.593645038,0.581632082
8685,HINT3,6,125956781,125980244,ENST00000229633,HINT3,0.62668849,0.605292137
4008,STK38,6,36493892,36547470,ENST00000229812,STK38,0.382530195,0.374388126
2663,MCM3,6,52264009,52284751,ENST00000229854,MCM3,0.286932922,0.287728682
2171,RPS12,6,132814441,132817564,ENST00000230050,RPS12,0.230710393,0.245538696
5771,SNX3,6,108211222,108261260,ENST00000230085,SNX3,0.487534164,0.464752066
9193,DNPH1,6,43225629,43229484,ENST00000230431,DNPH1,0.629080466,0.632299189
1422,EXOC2,6,485133,693111,ENST00000230449,EXOC2,0.172623563,0.17277957
2802,TMEM30A,6,75252924,75284968,ENST00000230461,TMEM30A,0.359256498,0.29788103
NA.5,MTREX,5,55307760,55425581,ENST00000230640,NA,NA,NA
NA.6,TENT4A,5,6713007,6757048,ENST00000230859,NA,NA,NA
4549,DAP,5,10679230,10761272,ENST00000230895,DAP,0.413636239,0.404625215
4635,TTC1,5,160009113,160065543,ENST00000231238,TTC1,0.401813316,0.408535098
NA.7,C5orf15,5,133955502,133968787,ENST00000231512,NA,NA,NA
4339,TUSC2,3,50324907,50328243,ENST00000232496,TUSC2,0.492440875,0.393018398
3445,RRP9,3,51933430,51941941,ENST00000232888,RRP9,0.352374718,0.340262069
NA.8,EIF1B,3,40309684,40312424,ENST00000232905,NA,NA,NA
10214,WDFY1,2,223875347,223945387,ENST00000233055,WDFY1,0.709477964,0.698312015
1708,DDX1,2,15591621,15631109,ENST00000233084,DDX1,0.233073008,0.202188529
NA.9,TMSB10,2,84905625,84906675,ENST00000233143,NA,NA,NA
2129,INO80B,2,74455023,74457960,ENST00000233331,INO80B,0.217171934,0.242607032
NA.10,SF3B6,2,24067584,24076443,ENST00000233468,NA,NA,NA
3162,SNX17,2,27370522,27377128,ENST00000233575,SNX17,0.304482312,0.32176497
3631,HSPE1,2,197499994,197503457,ENST00000233893,HSPE1,0.357305151,0.351530889
5364,GORASP2,2,170928526,170967129,ENST00000234160,GORASP2,0.453258547,0.445115701
3482,CEBPZ,2,37201612,37231713,ENST00000234170,CEBPZ,0.331312099,0.342163431
669,COX7A2L,2,42350507,42361216,ENST00000234301,COX7A2L,0.066899188,0.073949856
3835,SARS,1,109213918,109238120,ENST00000234677,SARS,0.378855444,0.363411877
5414,TMEM59,1,54026681,54053438,ENST00000234831,TMEM59,0.464378271,0.447380134
1196,RPL22,1,6185020,6199612,ENST00000234875,RPL22,0.121538342,0.145934666
3626,MIIP,1,12019466,12032045,ENST00000235332,MIIP,0.373098672,0.351287852
9251,AKR7A2,1,19303965,19312146,ENST00000235835,AKR7A2,0.672461718,0.636157373
3422,EBNA1BP2,1,43164184,43172260,ENST00000236051,EBNA1BP2,0.341060153,0.33936297
2916,SYF2,1,25222679,25232493,ENST00000236273,SYF2,0.33148957,0.30587211
NA.11,CTSD,11,1752752,1763992,ENST00000236671,NA,NA,NA
2566,MED28,4,17614631,17634105,ENST00000237380,MED28,0.26059154,0.278932267
NA.12,MYL12B,18,3261909,3278284,ENST00000237500,NA,NA,NA
3574,RPN2,20,37179046,37241623,ENST00000237530,RPN2,0.359847914,0.347947652
7254,CCNI,4,77047158,77076005,ENST00000237654,CCNI,0.441243004,0.533333333
610,NDUFB3,2,201071739,201085750,ENST00000237889,NDUFB3,0.063403883,0.062287886
7317,YWHAQ,2,9583972,9631014,ENST00000238081,YWHAQ,0.546197967,0.536169593
10079,IRF2BPL,14,77024543,77028699,ENST00000238647,IRF2BPL,0.691151297,0.689302693
6154,FAM98A,2,33583658,33599362,ENST00000238823,FAM98A,0.476633196,0.482637702
2334,PANK3,5,168548495,168579600,ENST00000239231,PANK3,0.189290114,0.259203766
1068,PDZD11,X,70286595,70289979,ENST00000239666,PDZD11,0.230199041,0.130800261
2699,UFM1,13,38349881,38363619,ENST00000239878,UFM1,0.297421253,0.290569147
7120,FAM53C,5,138338032,138349729,ENST00000239906,FAM53C,0.515475256,0.527101335
NA.13,SERP1,3,150541994,150546641,ENST00000239944,NA,NA,NA
NA.14,WASHC3,12,102012939,102062124,ENST00000240079,NA,NA,NA
1674,TARDBP,1,11012400,11026420,ENST00000240185,TARDBP,0.21618186,0.198188877
2622,LUC7L3,17,50719603,50752709,ENST00000240304,LUC7L3,0.265972562,0.284038991
1977,MRPS2,9,135500631,135504672,ENST00000241600,MRPS2,0.202379043,0.227521696
3059,DYNLL1,12,120496056,120498493,ENST00000242577,DYNLL1,0.371635492,0.314524706
7875,RNF11,1,51236271,51273455,ENST00000242719,RNF11,0.635380318,0.562563246
6812,DDX39A,19,14408851,14419367,ENST00000242776,DDX39A,0.491430938,0.512620759
NA.15,TRIR,19,12730640,12734775,ENST00000242784,NA,NA,NA
2383,SNRPA,19,40750859,40765389,ENST00000243563,SNRPA,0.274329911,0.263949786
5971,SYS1,20,45363028,45369215,ENST00000243918,SYS1,0.506094683,0.473900387
NA.16,ATP5F1E,20,59025467,59032382,ENST00000243997,NA,NA,NA
9886,PLCG1,20,41136960,41175721,ENST00000244007,PLCG1,0.65639411,0.677452489
2350,SRSF6,20,43457928,43464247,ENST00000244020,SRSF6,0.243780269,0.261027361
7615,RNF114,20,49936348,49953892,ENST00000244061,RNF114,0.547977183,0.549054724
1270,MPHOSPH10,2,71130314,71150101,ENST00000244230,MPHOSPH10,0.13557976,0.156622103
1039,RRP36,6,43021645,43029597,ENST00000244496,RRP36,0.130468159,0.126937258
910,SNRPC,6,34757406,34773794,ENST00000244520,SNRPC,0.104363314,0.109522931
4733,MEA1,6,43012094,43013968,ENST00000244711,MEA1,0.38071507,0.413748624
3636,EMC3,3,9962537,9987120,ENST00000245046,EMC3,0.337595638,0.351821297
1055,RPS29,14,49583572,49586376,ENST00000245458,RPS29,0.102656009,0.128577069
1897,MRPS7,17,75261674,75266373,ENST00000245539,MRPS7,0.211324356,0.219717674
2830,ALKBH7,19,6372433,6375251,ENST00000245812,ALKBH7,0.317558783,0.299291344
7717,CLPP,19,6361452,6368910,ENST00000245816,CLPP,0.544517709,0.55563488
1367,RPL23,17,38850081,38853428,ENST00000245857,RPL23,0.170328113,0.167701751
7842,TMX4,20,7977348,8019829,ENST00000246024,TMX4,0.608324399,0.561149614
6777,PITHD1,1,23778405,23788232,ENST00000246151,PITHD1,0.544584062,0.511355534
5818,RALY,20,33993722,34080271,ENST00000246194,RALY,0.500807111,0.466955635
8259,UROD,1,45012147,45015575,ENST00000246337,UROD,0.636434388,0.581912736
6548,UBA2,19,34428363,34471251,ENST00000246548,UBA2,0.497981342,0.49998919
2059,COX6B1,19,35648223,35658861,ENST00000246554,COX6B1,0.262169626,0.236548643
7157,ARL2,11,65014113,65022184,ENST00000246747,ARL2,0.524196903,0.529280885
NA.17,NOP53,19,47745522,47757058,ENST00000246802,NA,NA,NA
7523,SBDS,7,66987677,66995601,ENST00000246868,SBDS,0.560692499,0.545762648
985,DDX49,19,18919675,18928627,ENST00000247003,DDX49,0.122246028,0.120162289
4324,NSRP1,17,30116781,30186475,ENST00000247026,NSRP1,0.379575949,0.391928786
10298,ELK1,X,47635521,47650488,ENST00000247161,ELK1,0.703147381,0.704503839
1805,COX7C,5,86617904,86620962,ENST00000247655,COX7C,0.2257378,0.211566092
600,NDUFB2,7,140696672,140706646,ENST00000247866,NDUFB2,0.076191985,0.060802008
2114,ZNF777,7,149431363,149461123,ENST00000247930,ZNF777,0.198347856,0.241284854
7883,PIN1,19,9835323,9849682,ENST00000247970,PIN1,0.573352248,0.562928488
765,EIF3K,19,38619097,38636955,ENST00000248342,EIF3K,0.095948371,0.090949788
1838,EMC6,17,3668815,3669665,ENST00000248378,EMC6,0.234680195,0.214435799
3817,AAMP,2,218264123,218270257,ENST00000248450,AAMP,0.361896746,0.362736965
9495,PNKD,2,218270392,218272947,ENST00000248451,PNKD,0.673921737,0.652073685
NA.18,SEM1,7,96687951,96709891,ENST00000248566,NA,NA,NA
8757,PTPN12,7,77537275,77640071,ENST00000248594,PTPN12,0.627177521,0.608411019
2132,DGCR6L,22,20314276,20320080,ENST00000248879,DGCR6L,0.258581003,0.242807088
1187,SGSM3,22,40370611,40410289,ENST00000248929,SGSM3,0.224013906,0.14473709
3525,ATP6V1F,7,128862826,128865843,ENST00000249289,ATP6V1F,0.380635497,0.345131916
3523,DNAJB9,7,108569568,108574850,ENST00000249356,DNAJB9,0.316776254,0.345120955
2427,MTX2,2,176269419,176338025,ENST00000249442,MTX2,0.268131904,0.267566393
10160,FXR2,17,7591230,7614867,ENST00000250113,FXR2,0.672372524,0.694287688
1383,BCL2L2,14,23306762,23311759,ENST00000250405,BCL2L2,0.077072849,0.169735182
2371,EAPP,14,34515929,34539710,ENST00000250454,EAPP,0.292742805,0.262728505
NA.19,NEDD8,14,24216852,24232454,ENST00000250495,NA,NA,NA
1725,DAD1,14,22564905,22589269,ENST00000250498,DAD1,0.259101169,0.204069281
794,MAPK8IP3,16,1706183,1770317,ENST00000250894,MAPK8IP3,0.142508049,0.095425075
9969,LMAN1,18,59327823,59359962,ENST00000251047,LMAN1,0.711825799,0.682379676
5282,DHX40,17,59565525,59608345,ENST00000251241,DHX40,0.586404188,0.441456325
6358,KHNYN,14,24429286,24441834,ENST00000251343,KHNYN,0.509357145,0.491851382
1112,TUBG1,17,42609676,42615234,ENST00000251413,TUBG1,0.144690205,0.135434757
345,RPS16,19,39433207,39435948,ENST00000251453,RPS16,0.01994194,0.006960852
10141,ESYT2,7,158730995,158829628,ENST00000251527,ESYT2,0.689363196,0.692986039
8221,DHX29,5,55256245,55307722,ENST00000251636,DHX29,0.573610612,0.580269636
5823,RAF1,3,12583601,12664226,ENST00000251849,RAF1,0.427712832,0.467088722
189,NDUFA2,5,140645285,140647785,ENST00000252102,NDUFA2,0.041315343,-0.039976124
4636,ELOF1,19,11553043,11559236,ENST00000252445,ELOF1,0.427325925,0.408624146
3530,SAFB2,19,5586999,5622980,ENST00000252542,SAFB2,0.340770733,0.345327903
1003,MRPL34,19,17305668,17306843,ENST00000252602,MRPL34,0.116334774,0.121584367
6225,PGLS,19,17511629,17521288,ENST00000252603,PGLS,0.514665453,0.485617467
10733,ACTN4,19,38647670,38731583,ENST00000252699,ACTN4,0.749641722,0.733538094
1438,LSM4,19,18306907,18323071,ENST00000252816,LSM4,0.125357223,0.174732162
1451,ADRM1,20,62302896,62308860,ENST00000253003,ADRM1,0.161663957,0.1761593
6897,UBE2M,19,58555712,58558960,ENST00000253023,UBE2M,0.51202133,0.516209784
7283,TRIM28,19,58544469,58550716,ENST00000253024,TRIM28,0.566586687,0.534658796
1162,EIF2S3,X,24054716,24077971,ENST00000253039,EIF2S3,0.138060246,0.142386913
3304,EIF3G,19,10115017,10119902,ENST00000253108,EIF3G,0.378545391,0.331541793
4278,PPIL4,6,149504733,149546038,ENST00000253329,PPIL4,0.415534779,0.389282953
2355,ATP6V1E1,22,17592136,17628818,ENST00000253413,ATP6V1E1,0.339019772,0.261402416
2151,COX4I1,16,85799684,85807002,ENST00000253452,COX4I1,0.274100422,0.244113673
1795,EMC8,16,85778624,85799540,ENST00000253457,EMC8,0.214140053,0.211116777
2052,MRPS25,3,15048518,15065335,ENST00000253686,MRPS25,0.245461868,0.236060554
NA.20,RBSN,3,15070073,15099148,ENST00000253699,NA,NA,NA
2632,NR1H2,19,50376469,50382982,ENST00000253727,NR1H2,0.288889473,0.284979954
256,RPL27,17,42998419,43002959,ENST00000253788,RPL27,0.018993439,-0.015356361
1710,VPS25,17,42773436,42779599,ENST00000253794,VPS25,0.253045159,0.202623039
2760,DCAF15,19,13952492,13961449,ENST00000254337,DCAF15,0.351950861,0.295151178
4764,SMARCC1,3,47585272,47781917,ENST00000254480,SMARCC1,0.451679427,0.415390436
NA.21,TIMM10B,11,6481447,6484679,ENST00000254616,NA,NA,NA
7017,ILKAP,2,238170401,238203729,ENST00000254654,ILKAP,0.522727667,0.52172643
3272,RPA1,17,1829984,1899554,ENST00000254719,RPA1,0.320506266,0.329571342
8904,EEFSEC,3,128153454,128408646,ENST00000254730,EEFSEC,0.600983932,0.616833554
684,UTP3,4,70688479,70690551,ENST00000254803,UTP3,0.075286013,0.077108219
5757,WBP2,17,75845699,75855420,ENST00000254806,WBP2,0.474099061,0.46404355
NA.22,H3F3B,17,75776434,75779779,ENST00000254810,NA,NA,NA
4612,ZRANB2,1,71063337,71081011,ENST00000254821,ZRANB2,0.415695306,0.407590644
2439,ERAL1,17,28854938,28861067,ENST00000254928,ERAL1,0.313230891,0.268261749
1096,OSER1,20,44196496,44210791,ENST00000255174,OSER1,-0.017339405,0.134362934
NA.23,USPL1,13,30617783,30659549,ENST00000255304,NA,NA,NA
642,BTBD2,19,1985438,2015724,ENST00000255608,BTBD2,0.11384898,0.067992432
1620,CSNK1G2,19,1941149,1981338,ENST00000255641,CSNK1G2,0.097056453,0.191596375
423,MED10,5,6371881,6378594,ENST00000255764,MED10,0.03938086,0.027119851
6654,MKRN1,7,140453040,140479569,ENST00000255977,MKRN1,0.493657673,0.505677963
NA.24,BTG1,12,92140278,92145897,ENST00000256015,NA,NA,NA
5154,IPO8,12,30628988,30695986,ENST00000256079,IPO8,0.486996486,0.435889006
NA.25,SARAF,8,30063012,30083207,ENST00000256255,NA,NA,NA
5516,EIF2S1,14,67359997,67386516,ENST00000256383,EIF2S1,0.424052487,0.451346886
